pricing.date,product.currency.code,close.price
2025-12-31T00:00:00Z,BTC-USD,87497.94
2025-12-30T00:00:00Z,BTC-USD,88397.5
2025-12-29T00:00:00Z,BTC-USD,87110.78
2025-12-28T00:00:00Z,BTC-USD,87877.29
2025-12-27T00:00:00Z,BTC-USD,87808
2025-12-26T00:00:00Z,BTC-USD,87296.01
2025-12-25T00:00:00Z,BTC-USD,87171.68
2025-12-24T00:00:00Z,BTC-USD,87609.03
2025-12-23T00:00:00Z,BTC-USD,87429.32
2025-12-22T00:00:00Z,BTC-USD,88556.77
2025-12-21T00:00:00Z,BTC-USD,88639.95
2025-12-20T00:00:00Z,BTC-USD,88324
2025-12-19T00:00:00Z,BTC-USD,88092.65
2025-12-18T00:00:00Z,BTC-USD,85460.02
2025-12-17T00:00:00Z,BTC-USD,86209.77
2025-12-16T00:00:00Z,BTC-USD,87854.01
2025-12-15T00:00:00Z,BTC-USD,86417.5
2025-12-14T00:00:00Z,BTC-USD,88171.61
2025-12-13T00:00:00Z,BTC-USD,90255.32
2025-12-12T00:00:00Z,BTC-USD,90278
2025-12-11T00:00:00Z,BTC-USD,92542
2025-12-10T00:00:00Z,BTC-USD,92035.99
2025-12-09T00:00:00Z,BTC-USD,92690
2025-12-08T00:00:00Z,BTC-USD,90653.86
2025-12-07T00:00:00Z,BTC-USD,90402.29
2025-12-06T00:00:00Z,BTC-USD,89267.97
2025-12-05T00:00:00Z,BTC-USD,89345.29
2025-12-04T00:00:00Z,BTC-USD,92093.54
2025-12-03T00:00:00Z,BTC-USD,93453.84
2025-12-02T00:00:00Z,BTC-USD,91308.05
2025-12-01T00:00:00Z,BTC-USD,86282.36
2025-11-30T00:00:00Z,BTC-USD,90369.51
2025-11-29T00:00:00Z,BTC-USD,90828.06
2025-11-28T00:00:00Z,BTC-USD,90902.7
2025-11-27T00:00:00Z,BTC-USD,91316.7
2025-11-26T00:00:00Z,BTC-USD,90468.84
2025-11-25T00:00:00Z,BTC-USD,87325.01
2025-11-24T00:00:00Z,BTC-USD,88266.2
